domain,section_index,title,count,poster_w
animedia.icu,0,Сериалы с сериями,12,169
animedia.icu,1,Аниме-фильмы,12,169
animedia.icu,2,Дунхуа,12,169
animedia.icu,3,Короткие сериалы,12,169
animedia.icu,4,Топ по оценкам,12,169
animedia.icu,5,Классика,12,169
animedia.icu,6,Романтика,12,169
animedia.space,0,Новые аниме на сайте,12,169
animedia.space,1,Топ по оценкам,12,169
animedia.space,2,Экшен,12,169
animedia.space,3,Классика,12,169
animedia.space,4,Аниме-фильмы,12,169
animedia.space,5,Дунхуа,12,169
