theme,route,viewport,overflow,players,ok
light,home,1920x1080,0,0,1
light,home,1440x1000,0,0,1
light,home,1365x900,0,0,1
light,home,1024x768,0,0,1
light,home,768x1024,0,0,1
light,home,390x844,0,0,1
light,home,360x800,0,0,1
light,new,1920x1080,0,0,1
light,new,1440x1000,0,0,1
light,new,1365x900,0,0,1
light,new,1024x768,0,0,1
light,new,768x1024,0,0,1
light,new,390x844,0,0,1
light,new,360x800,0,0,1
light,catalog,1920x1080,0,0,1
light,catalog,1440x1000,0,0,1
light,catalog,1365x900,0,0,1
light,catalog,1024x768,0,0,1
light,catalog,768x1024,0,0,1
light,catalog,390x844,0,0,1
light,catalog,360x800,0,0,1
light,search,1920x1080,0,0,1
light,search,1440x1000,0,0,1
light,search,1365x900,0,0,1
light,search,1024x768,0,0,1
light,search,768x1024,0,0,1
light,search,390x844,0,0,1
light,search,360x800,0,0,1
light,collections,1920x1080,0,0,1
light,collections,1440x1000,0,0,1
light,collections,1365x900,0,0,1
light,collections,1024x768,0,0,1
light,collections,768x1024,0,0,1
light,collections,390x844,0,0,1
light,collections,360x800,0,0,1
light,title,1920x1080,0,1,1
light,title,1440x1000,0,1,1
light,title,1365x900,0,1,1
light,title,1024x768,0,1,1
light,title,768x1024,0,1,1
light,title,390x844,0,1,1
light,title,360x800,0,1,1
light,schedule,1920x1080,0,0,1
light,schedule,1440x1000,0,0,1
light,schedule,1365x900,0,0,1
light,schedule,1024x768,0,0,1
light,schedule,768x1024,0,0,1
light,schedule,390x844,0,0,1
light,schedule,360x800,0,0,1
dark,home,1920x1080,0,0,1
dark,home,1440x1000,0,0,1
dark,home,1365x900,0,0,1
dark,home,1024x768,0,0,1
dark,home,768x1024,0,0,1
dark,home,390x844,0,0,1
dark,home,360x800,0,0,1
dark,new,1920x1080,0,0,1
dark,new,1440x1000,0,0,1
dark,new,1365x900,0,0,1
dark,new,1024x768,0,0,1
dark,new,768x1024,0,0,1
dark,new,390x844,0,0,1
dark,new,360x800,0,0,1
dark,catalog,1920x1080,0,0,1
dark,catalog,1440x1000,0,0,1
dark,catalog,1365x900,0,0,1
dark,catalog,1024x768,0,0,1
dark,catalog,768x1024,0,0,1
dark,catalog,390x844,0,0,1
dark,catalog,360x800,0,0,1
dark,search,1920x1080,0,0,1
dark,search,1440x1000,0,0,1
dark,search,1365x900,0,0,1
dark,search,1024x768,0,0,1
dark,search,768x1024,0,0,1
dark,search,390x844,0,0,1
dark,search,360x800,0,0,1
dark,collections,1920x1080,0,0,1
dark,collections,1440x1000,0,0,1
dark,collections,1365x900,0,0,1
dark,collections,1024x768,0,0,1
dark,collections,768x1024,0,0,1
dark,collections,390x844,0,0,1
dark,collections,360x800,0,0,1
dark,title,1920x1080,0,1,1
dark,title,1440x1000,0,1,1
dark,title,1365x900,0,1,1
dark,title,1024x768,0,1,1
dark,title,768x1024,0,1,1
dark,title,390x844,0,1,1
dark,title,360x800,0,1,1
dark,schedule,1920x1080,0,0,1
dark,schedule,1440x1000,0,0,1
dark,schedule,1365x900,0,0,1
dark,schedule,1024x768,0,0,1
dark,schedule,768x1024,0,0,1
dark,schedule,390x844,0,0,1
dark,schedule,360x800,0,0,1
