domain,viewport,bodyH,overflow,headerH,footerH,wrapW,lower_cols,lower_rows,maxShelfH,topPoster,epThumb
animedia.icu,1920,6361,0,68,92.8,1760,8,2,807.7,"{'w': 152, 'h': 214}","{'w': 60, 'h': 72}"
animedia.icu,1440,6319,0,68,92.8,1344,6,2,801.4,"{'w': 152, 'h': 214}","{'w': 60, 'h': 72}"
animedia.icu,1363,6306,0,68,92.8,1267,6,2,799.6,"{'w': 152, 'h': 214}","{'w': 60, 'h': 72}"
animedia.icu,768,11342,0,68,138.8,724,3,4,1569,"{'w': 152, 'h': 214}","{'w': 54, 'h': 68}"
animedia.icu,390,15331,0,56,197,366,2,6,2252.7,"{'w': 112, 'h': 158}","{'w': 54, 'h': 68}"
animedia.space,1920,5492,0,68,92.8,1760,8,2,807.7,"{'w': 152, 'h': 214}","{'w': 60, 'h': 72}"
animedia.space,1440,5478,0,68,92.8,1344,6,2,801.4,"{'w': 152, 'h': 214}","{'w': 60, 'h': 72}"
animedia.space,1363,5466,0,68,92.8,1267,6,2,799.6,"{'w': 152, 'h': 214}","{'w': 60, 'h': 72}"
animedia.space,768,9733,0,68,138.8,724,3,4,1569,"{'w': 152, 'h': 214}","{'w': 54, 'h': 68}"
animedia.space,390,13065,0,56,197,366,2,6,2252.7,"{'w': 112, 'h': 158}","{'w': 54, 'h': 68}"
