domain,viewport,shelf_title,cols,rows,poster_w,poster_h,card_h,shelf_h
animedia.icu,1363,Аниме-фильмы,6,2,197.8,296.7,370,799.6
animedia.icu,1363,Дунхуа,6,2,197.8,296.7,370,799.6
animedia.icu,1363,Короткие сериалы,6,2,197.8,296.7,370,799.6
animedia.icu,1363,Топ по оценкам,6,2,197.8,296.7,370,799.6
animedia.icu,1363,Классика,6,2,197.8,296.7,370,799.6
animedia.icu,1363,Романтика,6,2,197.8,296.7,370,799.6
animedia.icu,1440,Аниме-фильмы,6,2,210.7,316,370,801.4
animedia.icu,1440,Дунхуа,6,2,210.7,316,370,801.4
animedia.icu,1440,Короткие сериалы,6,2,210.7,316,370,801.4
animedia.icu,1440,Топ по оценкам,6,2,210.7,316,370,801.4
animedia.icu,1440,Классика,6,2,210.7,316,370,801.4
animedia.icu,1440,Романтика,6,2,210.7,316,370,801.4
animedia.icu,390,Аниме-фильмы,2,6,175,262.5,355.3,2252.7
animedia.icu,390,Дунхуа,2,6,175,262.5,355.3,2252.7
animedia.icu,390,Короткие сериалы,2,6,175,262.5,355.3,2252.7
animedia.icu,390,Топ по оценкам,2,6,175,262.5,355.3,2252.7
animedia.icu,390,Классика,2,6,175,262.5,355.3,2252.7
animedia.icu,390,Романтика,2,6,175,262.5,355.3,2252.7
animedia.space,1363,Топ по оценкам,6,2,197.8,296.7,370,799.6
animedia.space,1363,С видео,6,2,197.8,296.7,370,799.6
animedia.space,1363,Экшен,6,2,197.8,296.7,370,799.6
animedia.space,1363,Классика,6,2,197.8,296.7,370,799.6
animedia.space,1363,Аниме-фильмы,6,2,197.8,296.7,370,799.6
animedia.space,1440,Топ по оценкам,6,2,210.7,316,370,801.4
animedia.space,1440,С видео,6,2,210.7,316,370,801.4
animedia.space,1440,Экшен,6,2,210.7,316,370,801.4
animedia.space,1440,Классика,6,2,210.7,316,370,801.4
animedia.space,1440,Аниме-фильмы,6,2,210.7,316,370,801.4
animedia.space,390,Топ по оценкам,2,6,175,262.5,355.3,2252.7
animedia.space,390,С видео,2,6,175,262.5,355.3,2252.7
animedia.space,390,Экшен,2,6,175,262.5,355.3,2252.7
animedia.space,390,Классика,2,6,175,262.5,355.3,2252.7
animedia.space,390,Аниме-фильмы,2,6,175,262.5,355.3,2252.7
