empty_state_behavior,filter_expression,first_10_ids,h1,page2_overlap,page_2_first_10_ids,query_params,route,sort_expression,source_fields,source_ui,total_count
zempty,{},master-lda-i-plameni-2|nelyud-chast-2|nelyud-film-2-stolknovenie|zolotaya-sekira|vo-vseoruzhii-sila-artefaktov|dedushkina-lampa|ovosch-supergeroy-morkkorm|violonchelist-gosyu-1982|gorod-dozhdya|ryba,Весь каталог,0,poketun-2025|poketun|poketun-2024|lazurnaya-volchica-glava-o-pogruzhenii-v-son|bog-bogatstva-chzhanlun-dou|izobrazi-otvraschenie-i-pokazhi-mne-svoi-trusiki-3|agent-vremeni-3|asy-i-malenkaya-lindan|proekt-kapsul-geroi|mificheskie-zveri-6,{},https://animedia.icu/catalog/,"published_at DESC, slug DESC",catalog.items+details,title_cards,7425
zempty,"{""year"": ""2026""}",zolotaya-sekira|vo-vseoruzhii-sila-artefaktov|tikava-tayna-ostrova-rusalok|kaydzyu-nomer-vosem-rabochiy-den-narumi|stranniki-duhovnogo-mira|chasha-snega|k-chertu-tvoy-ostrov|ubiyca-bogov-final|spisok-nano|lazurnaya-volchica-glava-o-pogruzhenii-v-son,Аниме 2026 года,,,"{""year"": ""2026""}",https://animedia.icu/catalog/?year=2026,"published_at DESC, slug DESC",catalog.items+details,title_cards,232
zempty,"{""page"": ""2""}",poketun-2025|poketun|poketun-2024|lazurnaya-volchica-glava-o-pogruzhenii-v-son|bog-bogatstva-chzhanlun-dou|izobrazi-otvraschenie-i-pokazhi-mne-svoi-trusiki-3|agent-vremeni-3|asy-i-malenkaya-lindan|proekt-kapsul-geroi|mificheskie-zveri-6,Весь каталог,,,"{""page"": ""2""}",https://animedia.icu/catalog/?page=2,"published_at DESC, slug DESC",catalog.items+details,title_cards,7425
zempty,"{""sort"": ""title""}",009-1|10-zhizney-2024|12-let-bienie-malenkogo-serdca|1-2-ray|1999-otdel-protivodeystviya-okkultizmu|22-7|24-y-okrug-tokio|3000-mil-v-poiskah-materi|35-yy-otryad-antimagicheskoy-akademii|3x3-glaza,Весь каталог,,,"{""sort"": ""title""}",https://animedia.icu/catalog/?sort=title,title ASC,catalog.items+details,title_cards,7425
zempty,{},master-lda-i-plameni-2|nelyud-chast-2|zolotaya-sekira|vo-vseoruzhii-sila-artefaktov|uchitel-medium|uzh-ne-zombi-li-eto-ova|daybaster-dotyanis-do-neba-2|generator-gaul|kiberegoist-kaydzo|legenda-boevyh-lentyaev-severnoy-zvezdy,Новые серии аниме,0,poketun-2024|lazurnaya-volchica-glava-o-pogruzhenii-v-son|bog-bogatstva-chzhanlun-dou|agent-vremeni-3|asy-i-malenkaya-lindan|proekt-kapsul-geroi|mificheskie-zveri-6|zadniy-pereulok-ulicy-guyuy|ezhik-v-tumane-i-kultivatorskaya-bratva|povelitel-zverey-evolyuciya-naoborot,{},https://animedia.icu/new/,"published_at DESC, slug DESC","published_at,slug,seasons.avail",episode_rows,10
zempty,"{""page"": ""2""}",poketun-2024|lazurnaya-volchica-glava-o-pogruzhenii-v-son|bog-bogatstva-chzhanlun-dou|agent-vremeni-3|asy-i-malenkaya-lindan|proekt-kapsul-geroi|mificheskie-zveri-6|zadniy-pereulok-ulicy-guyuy|ezhik-v-tumane-i-kultivatorskaya-bratva|povelitel-zverey-evolyuciya-naoborot,Новые серии аниме,,,"{""page"": ""2""}",https://animedia.icu/new/?page=2,"published_at DESC, slug DESC","published_at,slug,seasons.avail",episode_rows,10
zempty,{},,Подборки аниме,,,{},https://animedia.icu/collections/,"published_at DESC, slug DESC",catalog.items+details,title_cards,
zempty,{},master-lda-i-plameni-2|nelyud-chast-2|nelyud-film-2-stolknovenie|zolotaya-sekira|vo-vseoruzhii-sila-artefaktov|dedushkina-lampa|ovosch-supergeroy-morkkorm|violonchelist-gosyu-1982|gorod-dozhdya|ryba,Весь каталог,,,{},https://animedia.space/catalog/,"published_at DESC, slug DESC",catalog.items+details,title_cards,7425
zempty,"{""year"": ""2026""}",zolotaya-sekira|vo-vseoruzhii-sila-artefaktov|tikava-tayna-ostrova-rusalok|kaydzyu-nomer-vosem-rabochiy-den-narumi|stranniki-duhovnogo-mira|chasha-snega|k-chertu-tvoy-ostrov|ubiyca-bogov-final|spisok-nano|lazurnaya-volchica-glava-o-pogruzhenii-v-son,Аниме 2026 года,,,"{""year"": ""2026""}",https://animedia.space/catalog/?year=2026,"published_at DESC, slug DESC",catalog.items+details,title_cards,232
zempty,{},master-lda-i-plameni-2|nelyud-chast-2|zolotaya-sekira|vo-vseoruzhii-sila-artefaktov|uchitel-medium|uzh-ne-zombi-li-eto-ova|daybaster-dotyanis-do-neba-2|generator-gaul|kiberegoist-kaydzo|legenda-boevyh-lentyaev-severnoy-zvezdy,Новые серии аниме,,,{},https://animedia.space/new/,"published_at DESC, slug DESC","published_at,slug,seasons.avail",episode_rows,10
zempty,{},,Подборки аниме,,,{},https://animedia.space/collections/,"published_at DESC, slug DESC",catalog.items+details,title_cards,
