проверка                                     итог
------------------------------------------------------------
главная отвечает 200                         PASS
каталог отвечает 200                         PASS
фильмы отвечает 200                          PASS
сериалы отвечает 200                         PASS
аниме отвечает 200                           PASS
дорамы отвечает 200                          PASS
мультфильмы отвечает 200                     PASS
новое отвечает 200                           PASS
подборки отвечает 200                        PASS
поиск отвечает 200                           PASS
карточка отвечает 200                        PASS
healthz отвечает 200                         PASS
полки на главной есть                        PASS
на полках нет аниме/дорам/мультфильмов       PASS
на полках нет повторов                       PASS
первая полка заполнена рядом 14              PASS
полки помечены как компактные                PASS
/anime/ только своё                          PASS
/anime/ непуст                               PASS
/dorama/ только своё                         PASS
/dorama/ непуст                              PASS
/animation/ только своё                      PASS
/animation/ непуст                           PASS
/movies/ только своё                         PASS
/movies/ непуст                              PASS
/series/ только своё                         PASS
/series/ непуст                              PASS
карточки подборок есть                       PASS
подборка recently_added открывается          PASS
подборка recently_added: превью 1..4         PASS
подборка recently_added_movies открывается   PASS
подборка recently_added_movies: превью 1..4  PASS
подборка top_rated открывается               PASS
подборка top_rated: превью 1..4              PASS
подборка current_season открывается          PASS
подборка current_season: превью 1..4         PASS
в превью есть названия                       PASS
в превью есть постеры                        PASS
переключатель темы есть                      PASS
тёмная палитра объявлена                     PASS
color-scheme объявлен                        PASS
первый экран грузится сразу                  PASS
нижние блоки отложены                        PASS
плеер на карточке                            PASS
серии на карточке                            PASS
недоступная серия не ссылка                  PASS
серия 2 открывается                          PASS
в серии есть плеер                           PASS
смена серии работает                         PASS
раздел сообщества на карточке                PASS
десять звёзд                                 PASS
форма комментария                            PASS
оценка кнопкой, не выбором                   PASS
фильтр по году отбирает                      PASS
фильтр по году сузил выдачу                  PASS
неизвестный фильтр не игнорируется молча     PASS
страница жанра отвечает                      PASS
поиск находит по названию                    PASS
поиск говорит, что ничего не нашёл           PASS
сетка каталога без пометки                   PASS
------------------------------------------------------------
всего 60, провалов 0
