attribution,canonical_title_id,components,external_id,inserted,primary_reason,result,score,url,vote_count
Источник: AMD.online,amd_online:1200,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",1200,True,,ACCEPTED,9.52,https://amd.online/1200-raskolotaja-bitvoj-sineva-nebes-5.html,21739
Источник: AMD.online,amd_online:2397,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2397,True,,ACCEPTED,8.14,https://amd.online/2397-nekromant-ja-katastrofa.html,761
Источник: AMD.online,amd_online:1489,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",1489,True,,ACCEPTED,9.66,https://amd.online/1489-protivostojanie-svjatogo.html,32285
Источник: AMD.online,amd_online:770,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",770,True,,ACCEPTED,9.64,https://amd.online/770-pogloschennaya-zvezda.html,17543
Источник: AMD.online,amd_online:2150,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2150,True,,ACCEPTED,9.68,https://amd.online/2150-za-granju-vremeni.html,2031
Источник: AMD.online,amd_online:704,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",704,True,,ACCEPTED,9.29,https://amd.online/704-puteshestvie-k-bessmertiju.html,13142
Источник: AMD.online,amd_online:1413,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",1413,True,,ACCEPTED,9.4,https://amd.online/1413-boevoj-kontinent-2-neprevzojdennyj-klan-tan.html,16956
Источник: AMD.online,amd_online:2251,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2251,True,,ACCEPTED,9.07,https://amd.online/2251-o-moem-pererozhdenii-v-sliz-4.html,1053
Источник: AMD.online,amd_online:2333,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2333,True,,ACCEPTED,8.6,https://amd.online/2333-izgnannyj-reinkarnirovannyj-tjazhelyj-rycar-ne-imeet-sebe-ravnyh-v-znanijah-igry.html,880
Источник: AMD.online,amd_online:1850,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",1850,True,,ACCEPTED,9.35,https://amd.online/1850-skazanie-o-pastuhe-bogov.html,7519
Источник: AMD.online,amd_online:888,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",888,True,,ACCEPTED,9.59,https://amd.online/888-bezuprechnyy-mir.html,11797
Источник: AMD.online,amd_online:571,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",571,True,,ACCEPTED,9.35,https://amd.online/571-boevoy-master.html,9584
Источник: AMD.online,amd_online:2344,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2344,True,,ACCEPTED,8.85,https://amd.online/2344-reinkarnacija-bezrabotnogo-istorija-o-prikljuchenijah-v-drugom-mire-3.html,672
Источник: AMD.online,amd_online:2340,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2340,True,,ACCEPTED,8.59,https://amd.online/2340-adskij-rezhim-gejmer-kotoryj-ljubit-spidran-stanovitsja-bespodobnym-v-parallelnom-mire-s-ustarevshimi-nastrojkami-2.html,429
Источник: AMD.online,amd_online:2257,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2257,True,,ACCEPTED,8.78,https://amd.online/2257-cugai-zagrobnogo-mira.html,288
Источник: AMD.online,amd_online:2259,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2259,True,,ACCEPTED,7.54,https://amd.online/2259-mao.html,103
Источник: AMD.online,amd_online:2349,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2349,True,,ACCEPTED,7.21,https://amd.online/2349-lirichnaja-volshebnica-nanoha-operediteli-ognennyj-vystrel-vozmezdija.html,114
Источник: AMD.online,amd_online:2348,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2348,True,,ACCEPTED,7.3,https://amd.online/2348-sledujuschij-gercog-kotoryj-skazhet-ja-ne-hochu-ljubit-tebja-budet-ljubit-tebja-po-kakoj-to-prichine.html,137
Источник: AMD.online,amd_online:2346,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2346,True,,ACCEPTED,8.62,https://amd.online/2346-chernyj-fakel.html,278
Источник: AMD.online,amd_online:2255,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2255,True,,ACCEPTED,8.35,https://amd.online/2255-dobro-pozhalovat-v-ad-iruma-4.html,197
Источник: AMD.online,amd_online:2384,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2384,True,,ACCEPTED,9.1,https://amd.online/2384-skazanija-o-demonah-i-bogah-10.html,258
Источник: AMD.online,amd_online:2254,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2254,True,,ACCEPTED,9.11,https://amd.online/2254-vlast-knizhnogo-chervja-priemnaja-doch-lorda.html,355
Источник: AMD.online,amd_online:2350,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2350,True,,ACCEPTED,8.13,https://amd.online/2350-nevesta-demona.html,190
Источник: AMD.online,amd_online:2375,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2375,True,,ACCEPTED,7.06,https://amd.online/2375-hanaori-hochet-dratsja-dazhe-posle-pererozhdenija.html,116
Источник: AMD.online,amd_online:2377,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2377,True,,ACCEPTED,8.11,https://amd.online/2377-zabota-ob-odarennoj-devushke-v-prestizhnoj-shkole-polnoj-vysokoklassnyh-uchenikov-ja-budu-tajno-zabotitsja-o-samoj-krasivoj-devushke-ne-imejuschej.html,146
Источник: AMD.online,amd_online:5736,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5736,True,,ACCEPTED,9.48,https://amd.online/5736-vo-vseoruzhii-sila-artefaktov.html,186
Источник: AMD.online,amd_online:5735,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5735,True,,ACCEPTED,9.42,https://amd.online/5735-stranniki-duhovnogo-mira.html,247
Источник: AMD.online,amd_online:5734,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5734,True,,ACCEPTED,4.35,https://amd.online/5734-vedma-salli.html,12
Источник: AMD.online,amd_online:5733,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5733,True,,ACCEPTED,6.94,https://amd.online/5733-gonschik-spidi.html,4
Источник: AMD.online,amd_online:5732,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5732,True,,ACCEPTED,5.5,https://amd.online/5732-luchshaja-podacha.html,6
Источник: AMD.online,amd_online:5731,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5731,True,,ACCEPTED,8.46,https://amd.online/5731-dororo-i-hjakkimaru.html,12
Источник: AMD.online,amd_online:5730,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5730,True,,ACCEPTED,7.0,https://amd.online/5730-zavtrashnij-dzho.html,6
Источник: AMD.online,amd_online:5729,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5729,True,,ACCEPTED,5.5,https://amd.online/5729-pervobytnyj-malchik-rju.html,6
Источник: AMD.online,amd_online:5728,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5728,True,,ACCEPTED,7.0,https://amd.online/5728-ljupen-iii.html,6
Источник: AMD.online,amd_online:5727,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5727,True,,ACCEPTED,7.38,https://amd.online/5727-komanda-uchenyh-nindzja-gatchamen.html,2
Источник: AMD.online,amd_online:5726,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5726,True,,ACCEPTED,7.55,https://amd.online/5726-chelovek-djavol.html,5
Источник: AMD.online,amd_online:5725,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5725,True,,ACCEPTED,7.75,https://amd.online/5725-milashka-hani.html,4
Источник: AMD.online,amd_online:4368,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",4368,True,,ACCEPTED,9.75,https://amd.online/4368-vrata-shtejna.html,3
Источник: AMD.online,amd_online:1034,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",1034,True,,ACCEPTED,9.39,https://amd.online/1034-poschadi-menja-velikij-gospodin.html,2172
Источник: AMD.online,amd_online:2403,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2403,True,,ACCEPTED,7.53,https://amd.online/2403-agent-vremeni-3.html,31
Источник: AMD.online,amd_online:2386,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",2386,True,,ACCEPTED,9.48,https://amd.online/2386-den-moego-voznesenija.html,409
Источник: AMD.online,amd_online:5724,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5724,True,,ACCEPTED,7.67,https://amd.online/5724-bej-jejs.html,3
,,,https://amd.online/5723-hajdi-devochka-alp.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5723-hajdi-devochka-alp.html,
Источник: AMD.online,amd_online:5722,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5722,True,,ACCEPTED,7.0,https://amd.online/5722-kosmicheskij-linkor-jamato.html,3
Источник: AMD.online,amd_online:5721,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5721,True,,ACCEPTED,1.0,https://amd.online/5721-flandrijskij-pes.html,1
Источник: AMD.online,amd_online:5720,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5720,True,,ACCEPTED,5.5,https://amd.online/5720-prikljuchenija-gamby.html,2
Источник: AMD.online,amd_online:5719,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5719,True,,ACCEPTED,7.59,https://amd.online/5719-kjendi-kjendi.html,8
Источник: AMD.online,amd_online:5718,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5718,True,,ACCEPTED,5.5,https://amd.online/5718-ljupen-iii-chast-ii.html,2
,,,https://amd.online/5717-enot-po-imeni-raskal.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5717-enot-po-imeni-raskal.html,
,,,https://amd.online/5716-bezdomnyj-malchik-remi.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5716-bezdomnyj-malchik-remi.html,
,,,https://amd.online/5715-istorija-perrin.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5715-istorija-perrin.html,
,,,https://amd.online/5714-kosmicheskij-linkor-jamato-2.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5714-kosmicheskij-linkor-jamato-2.html,
Источник: AMD.online,amd_online:5713,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5713,True,,ACCEPTED,6.88,https://amd.online/5713-konan-malchik-iz-buduschego.html,4
Источник: AMD.online,amd_online:5712,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5712,True,,ACCEPTED,6.25,https://amd.online/5712-galakticheskij-jekspress-999.html,2
Источник: AMD.online,amd_online:5711,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5711,True,,ACCEPTED,9.9,https://amd.online/5711-kosmicheskij-pirat-kapitan-harlok.html,5
,,,https://amd.online/5710-komanda-uchenyh-nindzja-gatchamen-ii.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5710-komanda-uchenyh-nindzja-gatchamen-ii.html,
,,,https://amd.online/5709-ostrov-sokrovisch.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5709-ostrov-sokrovisch.html,
,,,https://amd.online/5708-kapitan-buduschee.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5708-kapitan-buduschee.html,
Источник: AMD.online,amd_online:5707,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5707,True,,ACCEPTED,10.0,https://amd.online/5707-roza-versalja.html,1
Источник: AMD.online,amd_online:5706,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5706,True,,ACCEPTED,10.0,https://amd.online/5706-jenn-iz-zelenyh-krysh.html,1
Источник: AMD.online,amd_online:5705,"{""story"": null, ""characters"": null, ""art"": null, ""voice"": null}",5705,True,,ACCEPTED,9.56,https://amd.online/5705-mobilnyj-voin-gandam.html,4
,,,https://amd.online/5704-moguchij-atom-1980.html,,OUT_OF_RANGE,NOT_ADDED,,https://amd.online/5704-moguchij-atom-1980.html,
