canonical_title_id,external_id,validation_state,normalized_score,vote_count
nova:01a09bba-5f87-7901-b838-5bfe4f989e95,60285,VALID,7.9,8551
nova:01a09ca4-8129-7909-a3fe-325fae8f1f61,58057,VALID,6.96,157
nova:01a09cb3-b7db-7909-894a-831818257ce8,10058,VALID,6.02,5
nova:01a09ccb-32a4-7909-a634-56dc6065f830,1006,VALID,7.44,254
nova:01a09ccc-73b1-7909-9932-01bae7df7da1,10074,VALID,6.69,284
nova:01a09ccf-5b2b-7909-ab02-74e63bbb46c2,10177,VALID,6.03,94
nova:01a09cd2-db3b-7909-bb57-13a2bf382145,10191,VALID,6.86,1352
nova:01a09cd5-6a1b-7909-a71b-0696fa4f29b3,1022,VALID,6.92,97
nova:01a09cd8-d08c-7909-afa9-b988ca6c3fdf,1034,VALID,7.47,1544
nova:01a09cdd-5599-7909-be3d-76237d08c43a,10405,VALID,6.14,287
nova:01a09ce0-7b41-7909-9970-51bdb3121042,30868,VALID,7.41,2665
nova:01a09ce3-bf37-7909-820d-c8ac3b116f28,10017,VALID,6.58,356
nova:01a09ceb-cf13-7909-9f0d-55cc4ff59423,1911,VALID,7.39,340
nova:01a09ced-2b8c-7909-94c8-b6714f1d8109,1002,VALID,7.62,2199
nova:01a09cf5-02a7-7909-b8f3-4ee5e72de92e,10209,VALID,7.35,5047
nova:01a09cf8-2fc0-7909-b31d-82452b65a3f4,15437,VALID,7.41,4242
nova:01a09cfb-640a-7909-be9f-a03fb2178c42,10338,VALID,6.47,221
nova:01a09d02-7e49-7909-9c6c-961b9d115d27,10417,VALID,5.32,5804
nova:01a09d05-ab74-7909-b087-1ffc479aec8b,10448,VALID,7.08,1984
nova:01a09d0a-504b-7909-ac34-43a702b6d3c9,1049,VALID,6.91,516
nova:01a09d0b-9513-7909-a38f-900e1d9f8b62,10501,VALID,5.99,221
nova:01a09d0c-f740-7909-b36f-3689522bf61e,10500,VALID,7.48,1275
nova:01a0aa6e-2008-70d0-89d1-1af7b85336b1,30869,VALID,7.2,1277
nova:01a0af3f-a972-76be-a845-326a4a565a93,33253,VALID,7.55,11708
nova:01a0b507-3280-7b2a-8af4-674dd73cff72,53477,VALID,7.12,236
nova:01a0251f-eba3-71bb-b187-3d40150e8108,16273,VALID,7.45,2218
nova:01a02aaa-f467-7252-82ef-5d32893a17cc,23385,VALID,7.61,7974
nova:01a0301c-063b-7353-87b0-dc8f89d41c52,2260,VALID,6.15,47
nova:01a06809-263c-79e9-96c8-e9d9cca30084,1021,VALID,7.36,253
nova:01a06cf5-9cf8-7275-b1a9-2e283bf0f006,10029,VALID,7.78,9636
nova:01a06d37-d2f1-727b-b2f2-18ef64702047,10261,VALID,5.75,21
nova:01a06d4d-4b5c-727b-b63b-9b37acbc43f2,10013,VALID,6.46,37
nova:01a071de-4844-7568-904c-56256c7f4048,63138,VALID,6.87,39
nova:01a07e0c-5e70-7357-8f3a-0d99dbd88208,10055,VALID,6.35,227
nova:01a07e11-f100-7357-9899-e43068add5b6,1037,VALID,6.04,182
nova:01a07e16-4af0-7357-ac5d-846ab524751d,3004,VALID,6.34,69
nova:01a088fb-b68f-7ea3-a402-607f146bf613,63011,VALID,7.95,13
nova:019d2d45-c348-736d-942a-94d5504a1647,61626,VALID,6.88,86
nova:019d2eff-d7ea-7f90-b8b2-62809d948cd8,60778,VALID,6.57,57
nova:019d2f13-a351-722b-ab1e-f878cdb60dc5,47351,VALID,7.56,463
nova:019d2f14-98a1-7804-a272-a1b4b49eba29,44407,VALID,7.34,405
nova:019d2f14-9ad2-774c-a971-a1dd0290db15,43590,VALID,7.02,254
nova:019d2f15-8dbd-7790-9d17-366258ee0988,43919,VALID,7.33,313
nova:019d2f17-71e7-73b6-8cc0-b34a1660c756,43522,VALID,6.93,199
nova:019d2f19-581a-7763-84fe-00b60838ea43,48554,VALID,7.33,413
nova:019d2f21-e7e2-798b-a8f6-89e0470e023f,47402,VALID,7.7,601
nova:019d2f27-b451-7d21-baaa-7e72dd8ab92c,42783,VALID,7.08,226
nova:019d2f29-9e54-740f-8898-539ba46c8483,38921,VALID,7.27,1180
nova:019d2f2d-692b-7ac8-ad45-d5637f83422a,8364,VALID,7.26,8
nova:019d2f5c-b508-7f03-aac5-ab868dc7ef6b,38002,VALID,7.59,2116
nova:019d2f86-ebb3-7462-b284-21257d5f0ba7,37959,VALID,7.75,667
nova:019d2fb2-498a-7bf6-b0ab-fd7d358f26df,37306,VALID,7.6,1272
