canonical_title_id,external_id,stored_score,live_score,stored_votes,live_votes,match_ok,provenance
nova:01a09bba-5f87-7901-b838-5bfe4f989e95,60285,7.9,7.9,8551,8551,True,https://shikimori.io/animes/60285-sakamoto-days-part-2
nova:01a09ca4-8129-7909-a3fe-325fae8f1f61,58057,6.96,6.96,157,157,True,https://shikimori.io/animes/58057-dubu-wangu-2nd-season
nova:01a09cb3-b7db-7909-894a-831818257ce8,10058,6.02,6.02,5,5,True,https://shikimori.io/animes/10058-sore-ike-anpanman-yuurei-sen-wo-yattsukero
nova:01a09ccb-32a4-7909-a634-56dc6065f830,1006,7.44,7.44,254,254,True,https://shikimori.io/animes/1006-tenchi-muyou-in-love
nova:01a09ccc-73b1-7909-9932-01bae7df7da1,10074,6.69,6.69,284,284,True,https://shikimori.io/animes/10074-toriko-3d-kaimaku-gourmet-adventure
nova:01a09ccf-5b2b-7909-ab02-74e63bbb46c2,10177,6.03,6.03,94,94,True,https://shikimori.io/animes/10177-dd-hokuto-no-ken
nova:01a09cd2-db3b-7909-bb57-13a2bf382145,10191,6.86,6.86,1352,1352,True,https://shikimori.io/animes/10191-katte-ni-kaizou
nova:01a09cd5-6a1b-7909-a71b-0696fa4f29b3,1022,6.92,6.92,97,97,True,https://shikimori.io/animes/1022-generator-gawl
nova:01a09cd8-d08c-7909-afa9-b988ca6c3fdf,1034,7.47,7.47,1544,1544,True,https://shikimori.io/animes/1034-ouritsu-uchuugun-honneamise-no-tsubasa
nova:01a09cdd-5599-7909-be3d-76237d08c43a,10405,6.14,6.14,287,287,True,https://shikimori.io/animes/10405-xi-avant
nova:01a09ce0-7b41-7909-9970-51bdb3121042,30868,7.41,7.41,2665,2665,True,https://shikimori.io/animes/30868-ajin-part-1-shoudou
nova:01a09ce3-bf37-7909-820d-c8ac3b116f28,10017,6.58,6.58,356,356,True,https://shikimori.io/animes/10017-dragon-ball-super-saiya-jin-zetsumetsu-keikaku
nova:01a09ceb-cf13-7909-9f0d-55cc4ff59423,1911,7.39,7.39,340,340,True,https://shikimori.io/animes/1911-top-wo-nerae-top-wo-nerae-2-gattai-movie
nova:01a09ced-2b8c-7909-94c8-b6714f1d8109,1002,7.62,7.62,2199,2199,True,https://shikimori.io/animes/1002-top-wo-nerae-2-diebuster
nova:01a09cf5-02a7-7909-b8f3-4ee5e72de92e,10209,7.35,7.35,5047,5047,True,https://shikimori.io/animes/10209-kore-wa-zombie-desu-ka-ova
nova:01a09cf8-2fc0-7909-b31d-82452b65a3f4,15437,7.41,7.41,4242,4242,True,https://shikimori.io/animes/15437-kore-wa-zombie-desu-ka-of-the-dead-hai-minotake-ni-attemasu
nova:01a09cfb-640a-7909-be9f-a03fb2178c42,10338,6.47,6.47,221,221,True,https://shikimori.io/animes/10338-honto-ni-atta-reibai-sensei
nova:01a09d02-7e49-7909-9c6c-961b9d115d27,10417,5.32,5.32,5804,5804,True,https://shikimori.io/animes/10417-gyo
nova:01a09d05-ab74-7909-b087-1ffc479aec8b,10448,7.08,7.08,1984,1984,True,https://shikimori.io/animes/10448-rain-town
nova:01a09d0a-504b-7909-ac34-43a702b6d3c9,1049,6.91,6.91,516,516,True,https://shikimori.io/animes/1049-cello-hiki-no-gauche-1982
nova:01a09d0b-9513-7909-a38f-900e1d9f8b62,10501,5.99,5.99,221,221,True,https://shikimori.io/animes/10501-bannou-yasai-ninninman
nova:01a09d0c-f740-7909-b36f-3689522bf61e,10500,7.48,7.48,1275,1275,True,https://shikimori.io/animes/10500-ojiisan-no-lamp
nova:01a0aa6e-2008-70d0-89d1-1af7b85336b1,30869,7.2,7.2,1277,1277,True,https://shikimori.io/animes/30869-ajin-part-2-shoutotsu
nova:01a0af3f-a972-76be-a845-326a4a565a93,33253,7.55,7.55,11708,11708,True,https://shikimori.io/animes/33253-ajin-part-2
nova:01a0b507-3280-7b2a-8af4-674dd73cff72,53477,7.12,7.12,236,236,True,https://shikimori.io/animes/53477-binghuo-mochu-2
