viewport,path,shot,cols,widths,no_h_overflow,scrollX,error
1440x1000,/,home-1440.png,,,True,0,
390x844,/,home-390.png,,,True,0,
1440x1000,/catalog/,catalog-1440.png,,,True,0,
390x844,/catalog/,catalog-390.png,,,True,0,
1440x1000,/series/?year=2026,series-2026-page1-1440.png,,,True,0,
1440x1000,/series/?year=2026&page=2,series-2026-page2-1440.png,,,True,0,
390x844,/series/?year=2026,series-2026-390.png,,,True,0,
1440x1000,/new/,new-1440.png,,,True,0,
1440x1000,/collections/,collections-1440.png,,,True,0,
390x844,/collections/,collections-390.png,,,True,0,
1440x1000,/title/chasha-vesny/,title-1440.png,,,True,0,
390x844,/title/chasha-vesny/,title-390.png,,,True,0,
1440x1000,/title/chasha-vesny/,related-1440.png,,,True,0,
1440x1000,/,footer-1440.png,,,True,0,
390x844,/,footer-390.png,,,True,0,
1440x1000,/movies/?year=1901,empty-state.png,,,True,0,
1440x1000,/movies/?year=abcd,invalid-filter.png,,,True,0,
1440x1000,/series/?year=2026&page=22,series-2026-last-1440.png,,,True,0,
1440x1000,/collection/recently_added/,collection-detail-1440.png,,,True,0,
1440,/movies/,,6,"[205, 205, 205, 205, 205, 205, 205, 205, 205, 205, 205, 205]",True,0,
768,/movies/,,4,"[156, 156, 156, 156, 156, 156, 156, 156, 156, 156, 156, 156]",True,0,
390,/movies/,,2,"[165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165]",True,0,
1280,/movies/,,5,"[224, 224, 224, 224, 224, 224, 224, 224, 224, 224, 224, 224]",True,0,
1920,/movies/,,7,"[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",True,0,
