year,total,films,series,animation,other_kind,missing_kind
2026,2187,1067,1030,90,0,0
2025,4489,2511,1873,105,0,0
2024,4067,2554,1351,162,0,0
2023,3839,2377,1216,246,0,0
2022,4451,2994,1172,285,0,0
2021,3178,1845,1013,320,0,0
2020,2085,906,970,209,0,0
2019,2144,1100,825,219,0,0
2018,2098,1126,759,213,0,0
2017,1966,1144,615,207,0,0
2016,1842,1056,553,233,0,0
2015,1703,1074,535,94,0,0
2014,1730,1150,482,98,0,0
2013,1521,1090,307,124,0,0
2012,1262,860,283,119,0,0
2011,1337,905,321,111,0,0
2010,1089,784,229,76,0,0
2009,976,674,254,48,0,0
2008,1078,782,234,62,0,0
2007,1081,719,235,127,0,0
2006,758,518,122,118,0,0
2005,638,440,130,68,0,0
2004,1119,908,155,56,0,0
2003,468,333,86,49,0,0
2002,442,330,78,34,0,0
2001,457,332,68,57,0,0
2000,375,281,55,39,0,0
1999,283,173,57,53,0,0
1998,186,88,57,41,0,0
1997,177,93,46,38,0,0
1996,154,69,39,46,0,0
1995,147,72,36,39,0,0
1994,126,61,33,32,0,0
1993,131,63,33,35,0,0
1992,95,42,19,34,0,0
1991,113,48,19,46,0,0
1990,105,49,17,39,0,0
1989,91,37,23,31,0,0
1988,96,43,19,34,0,0
1987,71,41,23,7,0,0
1986,69,47,18,4,0,0
1985,57,33,21,3,0,0
1984,50,28,20,2,0,0
1983,36,16,17,3,0,0
1982,37,23,13,1,0,0
1981,31,25,3,3,0,0
1980,30,20,9,1,0,0
1979,21,14,6,1,0,0
1978,24,13,11,0,0,0
1977,14,6,6,2,0,0
1976,17,13,4,0,0,0
1975,18,13,4,1,0,0
1974,10,5,5,0,0,0
1973,10,4,5,1,0,0
1972,18,11,7,0,0,0
1971,11,5,6,0,0,0
1970,6,4,2,0,0,0
1969,11,6,5,0,0,0
1968,11,10,1,0,0,0
1967,3,2,0,1,0,0
1966,7,3,4,0,0,0
1965,9,5,4,0,0,0
1964,9,7,2,0,0,0
1963,7,5,2,0,0,0
1962,5,5,0,0,0,0
1961,5,5,0,0,0,0
1960,9,9,0,0,0,0
1959,8,7,1,0,0,0
1958,9,9,0,0,0,0
1957,10,8,1,1,0,0
1956,8,8,0,0,0,0
1955,7,6,1,0,0,0
1954,4,4,0,0,0,0
1953,3,3,0,0,0,0
1952,6,6,0,0,0,0
1951,4,4,0,0,0,0
1950,4,4,0,0,0,0
1949,6,6,0,0,0,0
1948,2,2,0,0,0,0
1945,1,0,0,1,0,0
1944,2,1,1,0,0,0
1943,1,0,0,1,0,0
1940,1,1,0,0,0,0
1938,1,1,0,0,0,0
1937,1,1,0,0,0,0
1931,1,1,0,0,0,0
1928,1,1,0,0,0,0
1927,1,1,0,0,0,0
1925,1,1,0,0,0,0
1921,1,1,0,0,0,0
1915,1,1,0,0,0,0
1913,2,1,1,0,0,0
1911,4,0,4,0,0,0
1909,1,1,0,0,0,0
1902,1,1,0,0,0,0
