route,status,total,build
/,200,,20260919T215728Z-0fc98e2e-nova
/movies/,200,31807,20260919T215728Z-0fc98e2e-nova
/series/,200,17579,20260919T215728Z-0fc98e2e-nova
/animation/,200,4138,20260919T215728Z-0fc98e2e-nova
/catalog/,200,53524,20260919T215728Z-0fc98e2e-nova
/new/,200,1218,20260919T215728Z-0fc98e2e-nova
/collections/,200,,20260919T215728Z-0fc98e2e-nova
/title/chasha-vesny/,200,,20260919T215728Z-0fc98e2e-nova
/series/?year=2019,200,825,20260919T215728Z-0fc98e2e-nova
/movies/?year=2019,200,1100,20260919T215728Z-0fc98e2e-nova
/catalog/?year=2019,200,2144,20260919T215728Z-0fc98e2e-nova
/catalog/?year=2003,200,468,20260919T215728Z-0fc98e2e-nova
/catalog/?year=2010,200,1089,20260919T215728Z-0fc98e2e-nova
/catalog/?year=2013,200,1521,20260919T215728Z-0fc98e2e-nova
/catalog/?year=2018,200,2098,20260919T215728Z-0fc98e2e-nova
/catalog/?year=2026,200,2187,20260919T215728Z-0fc98e2e-nova
/movies/?year=1995,200,72,20260919T215728Z-0fc98e2e-nova
