title_id,title,year,kind,playable,rating,priority_bucket,priority_score,reason
800-metrov,800 метров,2026,Сериал,1,7.6,new_titles,180,TRULY_MISSING
beguschiy-chelovek-tayskaya-versiya,Бегущий человек (тайская версия),2026,Сериал,1,8.7,new_titles,180,TRULY_MISSING
blagorodnyy-chen-i-prekrasnaya-czin,Благородный Чэнь и прекрасная Цзинь,2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
bts-vozvraschenie,BTS: Возвращение,2026,Фильм,1,7.8,new_titles,180,TRULY_MISSING
chernaya-zima,Черная зима,2026,Сериал,1,8.5,new_titles,180,TRULY_MISSING
chiruran-rekviem-po-sinsengumi,Чируран: Реквием по синсэнгуми,2026,Сериал,1,7.9,new_titles,180,TRULY_MISSING
de-goll-zheleznyy-vek,Де Голль: Железный век,2026,Фильм,1,7.8,new_titles,180,TRULY_MISSING
delo-73,Дело 73,2026,Фильм,1,8.9,new_titles,180,TRULY_MISSING
dinozavry,Динозавры,2026,Сериал,1,7.5,new_titles,180,TRULY_MISSING
epoha-velikogo-mira,Эпоха великого мира,2026,Сериал,1,8.2,new_titles,180,TRULY_MISSING
gimn-lyubvi-kashgaru,Гимн любви Кашгару,2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
gintama-eshivara-v-ogne,Гинтама: Ёшивара в огне,2026,Фильм,1,8.5,new_titles,180,TRULY_MISSING
glavnaya-geroinya,Главная героиня,2026,Сериал,1,8.3,new_titles,180,TRULY_MISSING
gluhoman-krovnaya-vrazhda,Глухомань: Кровная вражда,2026,Фильм,1,8.1,new_titles,180,TRULY_MISSING
goblin-2,Гоблин 2,2026,Фильм,1,8.3,new_titles,180,TRULY_MISSING
gorodskie-pacany-gorodskie-parni,Городские пацаны: Городские парни,2026,Фильм,1,7.9,new_titles,180,TRULY_MISSING
halk-hogan-nastoyaschiy-amerikanec,Халк Хоган: Настоящий американец,2026,Сериал,1,7.6,new_titles,180,TRULY_MISSING
i-snova-lyubov,И снова любовь,2026,Фильм,1,8.0,new_titles,180,TRULY_MISSING
imam-gazali,Имам Газали,2026,Сериал,1,7.9,new_titles,180,TRULY_MISSING
istinnoe-obrazovanie,Истинное образование,2026,Сериал,1,8.4,new_titles,180,TRULY_MISSING
istorii-dalekogo-prigoroda,Истории далёкого пригорода,2026,Сериал,1,8.6,new_titles,180,TRULY_MISSING
kakoy-skandal,Какой скандал!,2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
kazhdyy-boretsya-so-svoey-sobstvennoy-nikchemnostyu,Каждый борется со своей собственной никчемностью,2026,Сериал,1,8.5,new_titles,180,TRULY_MISSING
klevatess-2-korol-demonicheskih-zverey-i-legenda-o-lozhnom-geroe,Клеватесс 2: Король демонических зверей и легенда о ложном герое,2026,Мультфильм,1,7.7,new_titles,180,TRULY_MISSING
lyubov-mezhdu-strok-2,Любовь между строк,2026,Сериал,1,8.3,new_titles,180,TRULY_MISSING
lyubov-v-epohu-nevinnosti,Любовь в эпоху невинности,2026,Сериал,1,8.4,new_titles,180,TRULY_MISSING
lyubov-za-granyu-smerti,Любовь за гранью смерти,2026,Сериал,1,7.6,new_titles,180,TRULY_MISSING
mappet-shou,Маппет-шоу,2026,Фильм,1,8.1,new_titles,180,TRULY_MISSING
mechty-o-zolotyh-godah,Мечты о золотых годах,2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
miss-sterva,Мисс Стерва,2026,Сериал,1,7.6,new_titles,180,TRULY_MISSING
miss-te-ri-posle-shkoly,Мисс Тэ Ри после школы,2026,Сериал,1,7.9,new_titles,180,TRULY_MISSING
monstr-vnutri,Монстр внутри,2026,Фильм,1,8.4,new_titles,180,TRULY_MISSING
nerasskazannoe-velikobritaniya-dzheymi-vardi,Нерассказанное: Великобритания. Джейми Варди,2026,Фильм,1,7.6,new_titles,180,TRULY_MISSING
oproverzhenie-siriusa,Опровержение Сириуса,2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
oslepitelno,Ослепительно,2026,Сериал,1,7.9,new_titles,180,TRULY_MISSING
ot-zimy-k-vesne,От зимы к весне,2026,Сериал,1,8.3,new_titles,180,TRULY_MISSING
poddaysya-etomu,Поддайся этому,2026,Фильм,1,8.7,new_titles,180,TRULY_MISSING
pohischennye-docheri,Похищенные дочери,2026,Фильм,1,7.5,new_titles,180,TRULY_MISSING
poverte-mne,Поверьте мне,2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
pravila-gostevogo-doma-yu-dzhe-soka,Правила гостевого дома Ю Джэ Сока,2026,Сериал,1,7.7,new_titles,180,TRULY_MISSING
prednachertano-krovyu,Предначертано кровью,2026,Фильм,1,7.6,new_titles,180,TRULY_MISSING
pryamikom-v-ad,Прямиком в ад,2026,Сериал,1,7.7,new_titles,180,TRULY_MISSING
pyatnadcatye,Пятнадцатые,2026,Сериал,1,8.9,new_titles,180,TRULY_MISSING
rechnye-zavodi,Речные заводи,2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
reys-karavella-114,Рейс «Каравелла-114»,2026,Сериал,1,8.7,new_titles,180,TRULY_MISSING
sdelano-v-indii-istoriya-titan,Сделано в Индии: История Titan,2026,Сериал,1,8.5,new_titles,180,TRULY_MISSING
specialist-mest,Специалист: Месть,2026,Фильм,1,8.5,new_titles,180,TRULY_MISSING
stalnoy-les,Стальной лес,2026,Сериал,1,7.7,new_titles,180,TRULY_MISSING
ta-chto-skryvaet-svoyu-lyubov,"Та, что скрывает свою любовь",2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
troecarstvie-yaponii,Троецарствие Японии,2026,Мультфильм,1,8.467,new_titles,180,TRULY_MISSING
twenty-one-pilots-bolshe-chem-my-kogda-libo-predstavlyali,"Twenty One Pilots: Больше, чем мы когда-либо представляли",2026,Фильм,1,9.3,new_titles,180,TRULY_MISSING
udivitelnyy-cifrovoy-cirk-posledniy-akt,Удивительный цифровой цирк: Последний акт,2026,Мультфильм,1,7.5,new_titles,180,TRULY_MISSING
v-pogone-za-nefritom,В погоне за нефритом,2026,Сериал,1,8.7,new_titles,180,TRULY_MISSING
vopros-vremeni,Вопрос времени,2026,Фильм,1,8.3,new_titles,180,TRULY_MISSING
voshozhdenie-red-hot-chili-peppers-nash-brat-hillel,Восхождение Red Hot Chili Peppers: Наш брат Хиллел,2026,Фильм,1,7.5,new_titles,180,TRULY_MISSING
vse-esche-nadeyus,Всё ещё надеюсь,2026,Фильм,1,8.2,new_titles,180,TRULY_MISSING
vu,Ву,2026,Сериал,1,8.4,new_titles,180,TRULY_MISSING
zhena-princa-xxi-veka,Жена принца XXI века,2026,Сериал,1,7.8,new_titles,180,TRULY_MISSING
zhenschina-s-harakterom,Женщина с характером,2026,Сериал,1,7.5,new_titles,180,TRULY_MISSING
zloy-advokat,Злой адвокат,2026,Сериал,1,7.5,new_titles,180,TRULY_MISSING
zolushka-mechty,Золушка мечты,2026,Фильм,1,8.1,new_titles,180,TRULY_MISSING
40-dney-2,40 дней,2025,Фильм,1,9.6,new_titles,180,TRULY_MISSING
6-dney,6 дней,2025,Фильм,1,7.8,new_titles,180,TRULY_MISSING
aay-sayba,Аай Сайба!,2025,Фильм,1,7.8,new_titles,180,TRULY_MISSING
abhangi-tukarama,Абханги Тукарама,2025,Фильм,1,8.3,new_titles,180,TRULY_MISSING
anatomiya-odnogo-mgnoveniya,Анатомия одного мгновения,2025,Сериал,1,7.6,new_titles,180,TRULY_MISSING
babochka-snayper,Бабочка-снайпер,2025,Сериал,1,7.7,new_titles,180,TRULY_MISSING
beschelovechnye-zverstva,Бесчеловечные зверства,2025,Сериал,1,8.8,new_titles,180,TRULY_MISSING
bezdelniki-bollivuda,Бездельники Болливуда,2025,Сериал,1,7.5,new_titles,180,TRULY_MISSING
billi-aydol-dolzhen-byt-mertv,Билли Айдол должен быть мёртв,2025,Фильм,1,8.2,new_titles,180,TRULY_MISSING
billi-dzhoel-tak-i-est,Билли Джоэл: Так и есть,2025,Сериал,1,8.6,new_titles,180,TRULY_MISSING
bok-o-bok,Бок о бок,2025,Фильм,1,7.8,new_titles,180,TRULY_MISSING
bratva,Братва,2025,Сериал,1,8.1,new_titles,180,TRULY_MISSING
buntarki,Бунтарки,2025,Сериал,1,8.5,new_titles,180,TRULY_MISSING
cena-ispovedi,Цена исповеди,2025,Сериал,1,7.6,new_titles,180,TRULY_MISSING
chudo,Чудо,2025,Сериал,1,7.8,new_titles,180,TRULY_MISSING
