exact_hash,size,class,title_bases,years,slugs
c6f68260a67a8d196fc5c9dc9b4467e203d3588447b8b68171e99a19160eb58b,4,LEGITIMATE_SHARED_SYNOPSIS,ями шибаи,"2013,2023,2024,2025","yami-shibai-yaponskie-rasskazy-o-privideniyah-11,yami-shibai-yaponskie-rasskazy-o-privideniyah-12,yami-shibai-yaponskie-rasskazy-o-privideniyah-13,yami-shibai-yaponskie-rasskazy-o-privideniyah-14"
f199486115adeabb3467c657fab5e29277634da26c6ad23ab5b9d98391205ed1,2,LEGITIMATE_SHARED_SYNOPSIS,ария,"2005,2006","ariya,ariya-priroda"
2aa779024f56f526ad65588e7b25096d8ff8b36af5a5543253ab8563db3c6be3,2,LEGITIMATE_SHARED_SYNOPSIS,бармен,2024,"barmen-bokal-boga,barmen-bokal-boga-2"
a7633b286c277c3d2fac1b589e30226f9bf14ae3016e4bb90a52e5c92236c396,2,LEGITIMATE_SHARED_SYNOPSIS,блич,"2022,2026","blich-tysyacheletnyaya-krovavaya-voyna,blich-tysyacheletnyaya-krovavaya-voyna-bedstvie-2"
740fe07740bb597e4e717eb5eb090373be3f58f7271c53aec8886a6224f39b1b,2,LEGITIMATE_SHARED_SYNOPSIS,грандиозный человек | человек,"1994,2008","chelovek-pauk-3,grandioznyy-chelovek-pauk"
0598dcad993287dade150c21595408674924807558741f53e39686c344cc514d,2,LEGITIMATE_SHARED_SYNOPSIS,чёрный клевер,"2017,2026","chernyy-klever,chernyy-klever-2"
213cf6b505e20b3aaffbdcf4f44447328833fe9b384e0aca6536757fb5b131c2,2,LEGITIMATE_SHARED_SYNOPSIS,девочка из чужеземья | девочка из чужеземья ova,"2019,2022","devochka-iz-chuzhezemya,devochka-iz-chuzhezemya-ova"
cb29637e3e68041ffe937edb6148d48d86d14f197cea8dc0d757b3f8b7afec37,2,LEGITIMATE_SHARED_SYNOPSIS,для тебя во всем цвету | для тебя во всём цвету,2012,"dlya-tebya-vo-vsem-cvetu-2,dlya-tebya-vo-vsem-cvetu-3"
31acbd0bb8b96d819dc380bd53f3be6bfa9ab6c1aa5cda5dd0b1ad86fc61da0f,2,LEGITIMATE_SHARED_SYNOPSIS,время воспоминаний | дневник воспоминаний,2021,"dnevnik-vospominaniy,vremya-vospominaniy"
c7e1d2a2a257099ea9f6bb3db9b5de34b36a8b18bc34ea62dcc1a0dd2a2c8709,2,LEGITIMATE_SHARED_SYNOPSIS,флаг настоящего преступления,"2021,2022","flag-nastoyaschego-prestupleniya,flag-nastoyaschego-prestupleniya-2"
800c561837090ecfc2284a6b3717d973524ad9ad9677426f8199dbfa2321376f,2,LEGITIMATE_SHARED_SYNOPSIS,форма голоса | форма голоса (2016),2016,"forma-golosa,forma-golosa-2016"
5b206cf5c317d9d5e01ae0acecedf18a4943708181aa1aca47936fff01089abe,2,LEGITIMATE_SHARED_SYNOPSIS,истинные чудотворные рыцари | истинные чудотворные рыцари. часть,2026,"istinnye-chudotvornye-rycari,istinnye-chudotvornye-rycari-chast-2"
6d9294647b4b274565e0f0f0f0ceb8c437139e20e617e7e4fda80a19fe5d5975,2,LEGITIMATE_SHARED_SYNOPSIS,комната | комната возвращается!,"2003,2025","komnata,komnata-vozvraschaetsya"
76dc3fde070d98fda8499fa0cd48b1793e25d4450fac418a7f25772168d3ae00,2,LEGITIMATE_SHARED_SYNOPSIS,"королева, ставшая причиной трагедии, сделает для народа всё, что в её силах","2023,2026","koroleva-stavshaya-prichinoy-tragedii-sdelaet-dlya-naroda-vse-chto-v-ee-silah,koroleva-stavshaya-prichinoy-tragedii-sdelaet-dlya-naroda-vse-chto-v-ee-silah-2"
fa7996eb30b01b8ce144b02d420903659d026724a20753a0a106b85a60d17fb3,2,LEGITIMATE_SHARED_SYNOPSIS,легенда о брюсе ли,2009,"legenda-o-bryuse-li-3,legenda-o-bryuse-li-4"
f5d8c4d3bad128a4e61ac41e10c376018ee4c71ce208250eeabb4c46e05660e3,2,LEGITIMATE_SHARED_SYNOPSIS,лига справедливости зака снайдера,2021,"liga-spravedlivosti-zaka-snaydera,liga-spravedlivosti-zaka-snaydera-cherno-belaya-versiya"
aafbdd92ddb7173bace5589aa5a34b1c2260c5e7694299e27d82b8c647a047e7,2,LEGITIMATE_SHARED_SYNOPSIS,любовь и искупление | стеклянная душа красавицы,2020,"lyubov-i-iskuplenie,steklyannaya-dusha-krasavicy"
89934ca176df659479b0c03cd39418a7ed811cbd2f5b3ed2faa44f88d10b94c6,2,LEGITIMATE_SHARED_SYNOPSIS,любовь так прекрасна | любовь так прекрасна (сериал 2020 – 2021),2020,"lyubov-tak-prekrasna-2,lyubov-tak-prekrasna-serial-2020-2021"
8bb09700745c4761f184def10af418c5113a3ed65e6d7253214ffb043c97754d,2,LEGITIMATE_SHARED_SYNOPSIS,за пределом | меч и жезл вистории,"2015,2026","mech-i-zhezl-vistorii-rekap,za-predelom-proshloe"
cf73557af674eb6be735c0a5f82fb291cfba8ef389435a86f1ed4d0af8a35144,2,LEGITIMATE_SHARED_SYNOPSIS,наноядро,"2014,2016","nanoyadro,nanoyadro-2"
f5c041e663fea6239a1e976e2a1eac7130857796ab2cb57aef787fd9be9060b5,2,LEGITIMATE_SHARED_SYNOPSIS,небольшой лес,"2014,2015","nebolshoy-les-leto-i-osen,nebolshoy-les-zima-i-vesna"
4c39253e955b35bffe3f6a097f527a583064320a49ccb83a442e838676038237,2,LEGITIMATE_SHARED_SYNOPSIS,новые приключения медвежонка винни и его друзей | приключения винни пуха,"1977,1988","novye-priklyucheniya-medvezhonka-vinni-i-ego-druzey,priklyucheniya-vinni-puha"
379ebe5710d93c007f06fa68c32bf6904f8a440766575c69128d2b5716468de5,2,LEGITIMATE_SHARED_SYNOPSIS,объединяйтесь!,"2023,2025","obedinyaytes,obedinyaytes-2"
5fe037c98653d806003364077fb482a1e35efa42c7a16a2b49acc9afb36708a2,2,LEGITIMATE_SHARED_SYNOPSIS,оммёдзи,"2018,2019","ommedzi-istoriya-heyan,ommedzi-istoriya-heyan-2"
bdb7a95b089bde2adea0d5a825ac436c19f0e9550d622a5312d6479e67b05644,2,LEGITIMATE_SHARED_SYNOPSIS,поднятие уровня в одиночку,2024,"podnyatie-urovnya-v-odinochku,podnyatie-urovnya-v-odinochku-povtornoe-probuzhdenie"
dbf4ea1c3b06e5b2b9309443b82c6cefb420f5881586c313c7ee5a93f074495a,2,LEGITIMATE_SHARED_SYNOPSIS,повседневная жизнь бессмертного короля,"2020,2023","povsednevnaya-zhizn-bessmertnogo-korolya-3,povsednevnaya-zhizn-bessmertnogo-korolya-4"
dee644dde587dc28f5344752d202ad6b007ef136184c27a064273225469255d9,2,LEGITIMATE_SHARED_SYNOPSIS,путешествие пак ха,2023,"puteshestvie-pak-ha-gen,puteshestvie-pak-ha-gen-2"
26a62b0bedce642718ecd411d2023aa9b0ae9805c4ff28284fcba2f40b2d3301,2,LEGITIMATE_SHARED_SYNOPSIS,скрытые вещи | скрытые вещи. фильм,"2020,2021","skrytye-veschi,skrytye-veschi-film"
29370114e94ffead23ce1bc1a0d6a88b9228174489d0e93748c1bcfa201fe215,2,LEGITIMATE_SHARED_SYNOPSIS,слететь с катушек,2025,"sletet-s-katushek,sletet-s-katushek-2"
f572c9a97731a008173601edf757a855402135003311fe212994ef104923e3e4,2,LEGITIMATE_SHARED_SYNOPSIS,спасатели малибу,2019,"spasateli-malibu,spasateli-malibu-3"
12ef3ab93aec095edfdd8bba12e82a59a431337cd52f0db23d7368ce0d2a003e,2,LEGITIMATE_SHARED_SYNOPSIS,сумеречная зона,"1959,2002","sumerechnaya-zona-5,sumerechnaya-zona-6"
240931549eabc7f1d149e2ec0079c041e200947b88ac234e7da76c4189ec514c,2,LEGITIMATE_SHARED_SYNOPSIS,токийские мстители,2021,"tokiyskie-mstiteli-2,tokiyskie-mstiteli-rozhdestvenskaya-bitva"
81254033f39281fec36c2e47b441eb7c191b73068455fde5202baa0602beaf10,2,LEGITIMATE_SHARED_SYNOPSIS,траст,2018,"trast,trast-2"
bcc0bb63e5f6b25a28f4cf37bb260544f7dcb43b15c781929be81bcf79ca2957,2,LEGITIMATE_SHARED_SYNOPSIS,туалетный мальчик ханако | туалетный мальчик ханако 2. часть,2025,"tualetnyy-malchik-hanako-2,tualetnyy-malchik-hanako-2-chast-2"
29ce3258976861d137349dc4cbd1bf1397b33a4bfb05a3a2878213d716034772,2,LEGITIMATE_SHARED_SYNOPSIS,убить билла | убить билла (2003),"2003,2011","ubit-billa-2003,ubit-billa-krovavoe-delo-celikom"
16cb17d8a2cfd72f0f166407dea1b78c2a834f4f8c645e98be54386fca48070e,2,LEGITIMATE_SHARED_SYNOPSIS,усио и тора | усио и тора [тв,2015,"usio-i-tora,usio-i-tora-tv-2"
78a71adeda50f3e97dcc728ad52be96e60ecd78c9b0ecc10563db916f442dc6e,2,LEGITIMATE_SHARED_SYNOPSIS,утиные истории | утиные истории. короткие истории,2017,"utinye-istorii,utinye-istorii-korotkie-istorii"
75466ec971da4e644441459e45fc1c87c85513a34cbbfb133e4bd502351508f7,2,LEGITIMATE_SHARED_SYNOPSIS,ваша милость | ваше высочество,2017,"vasha-milost,vashe-vysochestvo"
5b1e2279476ef9af5f7610905581e555d72a7ebbfe2e6de2167493b828219c78,2,LEGITIMATE_SHARED_SYNOPSIS,военная хроника маленькой девочки,"2017,2026","voennaya-hronika-malenkoy-devochki,voennaya-hronika-malenkoy-devochki-2"
