near_hash,group_size,exact_hash_count,slug_sample
b3c9e5ebf0c8f35456f168680ea6590926de8080dffb884f74e0c649b3e54453,2,2,"legenda-o-geroe-kondore-iii,legenda-o-geroe-kondore-ii"
9931f9fd36c8aa2864ce3c7748ca92a7231544886559c7f5f0c1db6c80e4fdba,2,2,"plod-pandory-2,plod-pandory"
c26499cb6d57b9b2c85cc29c68c27eef4525b02ff88354fc9dc2931cabc14ac5,2,2,"povelitel-ple-ple-pleyady-3,povelitel-ple-ple-pleyady-2"
4596a2ce588df7713503911b8b985063b9cff116342fe1d4332d59c9bda4a3f2,2,2,"doma-postroennye-v-oktyabre,doma-postroennye-v-oktyabre-2"
7c4785cb9ae0a69d24e9a01fd5c231d7c93a86b3fe27be6ac4ee381e16b8e38d,2,2,"csi-bessmertie,csi-mesto-prestupleniya"
52703ef6527f36885acd337198ebd97e662eb2bbb6813d3b70a801cdf1aa1c3e,2,2,"re-zero-zhizn-s-nulya-v-alternativnom-mire,re-zero-zhizn-s-nulya-v-drugom-mire-3"
0ef3dbbf0a3181b1038208e97440d566d76b71f4645716e14db8e4a32bd066aa,2,2,"zhguchiy-vzor-shany-speshl,zhguchiy-vzor-shany"
ed07e29b31c15db04def4d155e7ed86f5f073b20a2b586b34f80bc17c3382ff0,2,2,"vrata-tam-byutsya-nashi-voiny-ognedyshaschie-drakony,vrata-tam-byutsya-nashi-voiny"
3ec5b650380227bf45be09de9f4c5e2540d6c5a52026b2079bf9bb1a157bc152,2,2,"neuderzhimaya-yunost-2,doroga-yunosti"
3a23e92e14c626c2f8a9503827425a0224e197d164f36768bfca80f2aeaa7be0,2,2,"konstantin-gorod-demonov-2018,konstantin-gorod-demonov"
afc58227a8c49ae708af753ea9da169eb30bc8c227b644064e74b6e0a51b2877,2,2,"istrebitel-demonov-poezd-beskonechnyy-2,istrebitel-demonov-poezd-beskonechnyy"
916e81fcfe1df6d48f51b5d8997c6a656441437842502f3dce345745cdab48ed,2,2,"drakoniy-zhemchug-zet-vozvraschaysya-moy-gohan,drakoniy-zhemchug-kay-2014"
