slug,kind,T_CATALOG,T_SNAPSHOT,T_LIVE,catalog_to_live_min,status
moi-dva-centa,Мультфильм,2026-09-19T11:24:10Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,971.0,INCONCLUSIVE_SOURCE_TIMESTAMP
plennica-6,Сериал,2026-09-19T10:11:41Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1043.4833333333333,INCONCLUSIVE_SOURCE_TIMESTAMP
nash-vcherashniy-pobeg,Сериал,2026-09-19T09:25:29Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1089.6833333333334,INCONCLUSIVE_SOURCE_TIMESTAMP
nedetskie-igry-2,Фильм,2026-09-19T07:27:43Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1207.45,INCONCLUSIVE_SOURCE_TIMESTAMP
pravda-ili-zagovor,Фильм,2026-09-19T07:27:00Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1208.1666666666667,INCONCLUSIVE_SOURCE_TIMESTAMP
reznya-v-norton-krik,Фильм,2026-09-19T07:26:26Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1208.7333333333333,INCONCLUSIVE_SOURCE_TIMESTAMP
pervenec-2,Фильм,2026-09-19T07:25:51Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1209.3166666666666,INCONCLUSIVE_SOURCE_TIMESTAMP
princessa-i-drakon,Фильм,2026-09-19T07:25:09Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1210.0166666666667,INCONCLUSIVE_SOURCE_TIMESTAMP
kurinyy-gorodok,Мультфильм,2026-09-19T07:24:38Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1210.5333333333333,INCONCLUSIVE_SOURCE_TIMESTAMP
chya-eto-sobaka,Фильм,2026-09-19T07:24:35Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1210.5833333333333,INCONCLUSIVE_SOURCE_TIMESTAMP
do-kraya-sveta,Фильм,2026-09-19T07:23:51Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1211.3166666666666,INCONCLUSIVE_SOURCE_TIMESTAMP
elaydzha-pil,Фильм,2026-09-19T07:23:18Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1211.8666666666666,INCONCLUSIVE_SOURCE_TIMESTAMP
otgoloski-iz-pustoty,Фильм,2026-09-19T07:22:39Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1212.5166666666667,INCONCLUSIVE_SOURCE_TIMESTAMP
bratya-po-oruzhiyu-nasledie,Фильм,2026-09-19T07:21:43Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1213.45,INCONCLUSIVE_SOURCE_TIMESTAMP
materinskaya-lihoradka,Фильм,2026-09-19T07:19:57Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1215.2166666666667,INCONCLUSIVE_SOURCE_TIMESTAMP
ty-ya-protiv-vsego-mira,Фильм,2026-09-19T07:17:40Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1217.5,INCONCLUSIVE_SOURCE_TIMESTAMP
parshivye-ovcy-2,Фильм,2026-09-19T07:17:39Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1217.5166666666667,INCONCLUSIVE_SOURCE_TIMESTAMP
posledniy-prokat,Фильм,2026-09-19T07:16:08Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1219.0333333333333,INCONCLUSIVE_SOURCE_TIMESTAMP
umnica-gudi,Фильм,2026-09-19T07:15:08Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1220.0333333333333,INCONCLUSIVE_SOURCE_TIMESTAMP
luchshie-iz-luchshih-2,Фильм,2026-09-19T07:14:30Z,2026-09-20T03:16:30Z,2026-09-20T03:35:10Z,1220.6666666666667,INCONCLUSIVE_SOURCE_TIMESTAMP
